Sample	No	Stn	Individual	Initial depth	Final Depth	Year	Date	Long	Lat	Size	RFLP_diagnostic	Msat_diagnostic	Combined_diagnostic	EL696609	EL696609	EL585922	EL585922	EH666870	EH666870	EL773519	EL773519	EH666474	EH666474	EL773359	EL773359	FK868270	FK868270	FG632811	FG632811	FK670364	FK670364	FK867682	FK867682
Ech3	105	FC-33	28	1000	0	2008	2010-07-08	-43.4	47	2.1	F	F	F	116	130	163	163	141	141	191	191	133	133	127	133	238	238	247	247	288	294	168	168
Ech3	106	FC-33	29	1000	0	2008	2010-07-08	-43.4	47	2.3	F	F	F	114	120	163	163	141	141	188	194	133	133	124	133	238	238	247	247	288	294	170	170
Ech3	107	FC-33	30	1000	0	2008	2010-07-08	-43.4	47	2.5	F	F	F	116	118	163	163	141	141	191	191	133	133	133	136	238	238	247	247	288	294	168	168
Ech3	108	FC-33	31	1000	0	2008	2010-07-08	-43.4	47	2.7	F	F	F	118	122	163	163	141	141	191	191	133	136	124	127	238	238	247	247	288	294	170	170
Ech3	109	FC-33	32	1000	0	2008	2010-07-08	-43.4	47	3.5	G	H	H	114	114	163	163	135	141	191	191	133	133	133	133	238	238	247	247	288	294	170	170
Ech3	110	FC-33	33	1000	0	2008	2010-07-08	-43.4	47	2.6	F	F	F	118	122	163	163	138	141	191	191	133	133	142	142	238	238	247	247	282	282	168	170
Ech3	111	FC-33	34	1000	0	2008	2010-07-08	-43.4	47	2.3	F	F	F	116	118	163	166	141	141	191	191	133	133	127	133	238	238	247	247	288	294	170	170
Ech3	112	FC-33	35	1000	0	2008	2010-07-08	-43.4	47	2.7	F	H	H	118	126	163	163	138	141	191	197	133	136	133	133	238	241	244	247	0	0	170	170
Ech3	113	FC-33	37	1000	0	2008	2010-07-08	-43.4	47	2.4	F	F	F	0	0	163	163	138	141	191	191	133	133	133	133	238	238	247	247	294	294	170	170
Ech3	114	FC-33	38	1000	0	2008	2010-07-08	-43.4	47	2.3	F	F	F	120	126	163	163	141	141	191	191	133	133	0	0	238	238	247	247	291	294	168	168
Ech3	115	FC-33	39	1000	0	2008	2010-07-08	-43.4	47	2.5	F	F	F	116	120	163	163	138	141	188	188	133	136	127	133	241	241	247	247	282	282	170	170
Ech3	116	FC-33	40	1000	0	2008	2010-07-08	-43.4	47	2.6	F	F	F	118	126	163	163	141	141	191	191	133	133	127	133	238	238	247	247	288	288	170	170
Ech3	117	FC-33	41	1000	0	2008	2010-07-08	-43.4	47	2.2	F	F	F	118	118	163	163	141	141	191	191	133	133	124	130	238	238	247	247	294	294	170	170
Ech3	118	FC-33	42	1000	0	2008	2010-07-08	-43.4	47	2.8	F	F	F	116	118	163	163	138	141	191	191	133	133	127	133	238	241	247	247	0	0	170	170
Ech3	119	FC-33	43	1000	0	2008	2010-07-08	-43.4	47	2.2	F	F	F	118	120	163	163	138	141	188	188	133	133	127	127	238	238	247	250	291	294	170	170
Ech3	120	FC-33	44	1000	0	2008	2010-07-08	-43.4	47	2.2	F	F	F	118	120	163	163	138	141	191	191	133	136	133	133	238	241	247	247	291	291	170	170
Ech3	121	FC-33	45	1000	0	2008	2010-07-08	-43.4	47	2.8	F	F	F	118	122	163	163	141	141	191	191	133	133	130	133	238	238	247	247	288	291	170	170
Ech3	122	FC-33	46	1000	0	2008	2010-07-08	-43.4	47	2.7	F	F	F	118	126	163	163	141	141	191	197	133	133	127	127	238	238	247	247	291	291	168	170
Ech3	123	FC-33	47	1000	0	2008	2010-07-08	-43.4	47	2.4	F	H	H	118	118	163	163	138	141	191	194	133	133	130	133	238	238	244	247	291	297	168	168
Ech3	124	FC-33	48	1000	0	2008	2010-07-08	-43.4	47	2.9	F	F	F	118	118	163	163	141	147	191	191	133	136	133	133	241	241	247	247	285	291	170	170
Ech4	125	LL7	1	100	0	2008	2018-10-08	-58.2	44.1	2.4	F	F	F	118	120	163	163	138	141	191	191	133	133	133	142	238	238	247	247	291	294	166	170
